,B47,B45,B46,B22,B24,B21,B31,B23,B67,B83,B42,B32,B48,B63,B43,B610,B612,B44,B52,B13,B68,B61,B85,B82,B611,FRACASO,CODIGO_EMPRESA
10,0.711194108,0.288805892,0.406085889,-0.048277154,-0.067881825,-0.023669841,0.245425062,-0.167161251,7.06220406,0.000196696,0.710419033,0.465769046,1.685785172,0.010723011,0.732289752,1.016436388,0.329259584,0.48686469,2.894647457,-1.394142829,2.03960614,0.091561197,-0.004074308,0.00080145,0.675780298,0,321004262
11,0.382449777,0.617550223,1.614722405,0.087719859,0.229363081,0.058600658,0.382449777,0.142044899,2.423947166,0.012547315,0.341701788,0.0,0.941971898,0.415832157,0.964164733,2.092587425,0.407899389,0.581714956,0.893455321,0.006900854,1.496909114,0.047813692,0.143038479,0.032807746,1.262532595,0,321004594
12,0.581429145,0.418570855,0.719900024,0.061909452,0.106478069,0.017330647,0.571843245,0.147906744,8.534404028,0.022175405,0.732500585,0.0095859,0.814270474,0.050436674,0.912673133,1.400610497,0.207537001,0.340829889,1.280946469,0.001328399,3.572252793,0.010753397,0.358190938,0.038778818,0.523045877,0,321004642
13,0.397110947,0.602889053,1.518187948,0.04052475,0.102048938,0.038145061,0.361998733,0.067217592,1.762157155,0.027975407,0.263171285,0.035112214,0.425843369,0.334684382,0.618735039,1.497794738,0.451458731,0.256736306,0.726995044,-0.043016195,1.062385259,0.026638698,0.690328913,0.0772804,0.621491048,0,321004940
14,0.709659006,0.290340994,0.40912747,0.063953842,0.090119115,0.017635921,0.447565873,0.220271484,12.48993388,0.024322422,0.370379913,0.262093134,-0.224766158,0.003289027,0.382307043,0.745159361,0.173523331,-0.06525883,0.827542794,-0.231515383,3.626339812,0.003485133,0.380312137,0.054343782,-0.127196788,0,321004976
15,0.495050442,0.504949558,1.019996176,0.120433269,0.243274743,0.052515737,0.495050442,0.238505545,4.541601374,0.00835443,0.66187326,0.0,0.75875527,0.09432357,0.87818358,2.13445258,0.251823896,0.383133138,1.336981454,0.059592271,2.293279606,0.045823614,0.069369783,0.016875916,0.931217042,0,321005903
16,0.455957369,0.544042631,1.193187498,0.097643412,0.21415031,0.05768714,0.455957369,0.179477501,3.111222056,0.002064675,0.684152732,0.0,0.512593928,0.029940013,0.734830318,1.388222002,0.399756011,0.278872949,1.500475217,-0.042918078,1.692637435,0.089925243,0.021145055,0.00452822,0.5268394,0,321006842
17,0.227405629,0.772594371,3.397428521,0.081016883,0.356265954,0.067395492,0.227405629,0.104863414,1.555941068,0.023974904,0.709458389,0.0,0.916754851,0.18819129,0.935685267,3.275814981,0.349140279,0.708279637,3.119792553,-0.051474862,1.20211131,0.031653577,0.295924789,0.105427927,2.479672524,0,321007169
18,0.579273672,0.420726328,0.72629976,0.035306966,0.060950406,0.014422167,0.579273672,0.083919078,5.818756467,0.04193681,0.415156925,0.0,0.773092303,0.199900423,0.904533958,1.811715746,0.234145794,0.325260286,0.7166853,0.162932628,2.448104044,0.035183795,1.187777227,0.072395504,0.651472703,0,321007290
19,0.656773084,0.343226916,0.522595894,0.031478484,0.04792901,0.009591838,0.656773084,0.091713331,9.561601689,0.071339903,0.873740218,0.0,0.904358851,0.028470106,0.967173383,1.829782517,0.212643538,0.3104003,1.330353267,0.26088441,3.281799064,0.056704173,2.266306841,0.108621843,0.587242217,0,321007301
