CODIGO_EMPRESA,FRACASO,B11,B12,B13,B14,B21,B22,B23,B24,B31,B32,B41,B42,B43,B44,B45,B46,B47,B48,B51,B52,B53,B54,B61,B62,B63,B64,B65,B66,B67,B68,B69,B610,B611,B612,B613,B81,B82,B83,B84,B85
321014811,0,0.027502719,0.027378423,0.033121095,0.157906166,0.041350556,0.041163676,0.049797829,0.237413174,0.173384126,0,0.053323314,0.7183791,0.835966839,0.662582713,0.826615874,4.767540671,0.173384126,0.801560597,0.307544385,4.143280679,4.821472746,0.307544385,0.053565399,0.659443631,0.118121579,1.385731551,1.190813484,0.665590794,1.20428438,0.995480585,0.230762328,3.617735616,2.867397326,0.281570131,0.049446459,0.008217591,0.008217591,0.0014248,0.001431268,0.034613039
321015456,0,-0.000782525,-0.001413373,-0.002655275,-0.003021893,0.064024844,0.115639694,0.217249906,0.247245944,0.467711189,0,0.115240282,0.526289918,0.893517275,0.425806086,0.532288811,1.138071578,0.467711189,0.799953102,0.246391973,1.125245517,1.910403889,0.246391973,0.063803706,0.219539562,0.20331837,3.431889977,2.02141486,0.235750953,3.393212593,1.806169096,0.369371099,2.86392441,1.364804551,0.264577989,0.091841935,0.00844849,0.00844849,0.003951453,0.002187754,0.034170389
321017101,0,-0.022083291,-0.046479846,-0.064944377,-0.163481249,0.01294661,0.027249401,0.038074467,0.095842961,0.28431301,0,0.052997423,0.401195937,0.987034469,0.702721459,0.71568699,2.517250232,0.28431301,0.981883796,0.186405198,1.411106503,3.471647214,0.186405198,0.025179893,0.149258955,0.278340917,5.246194066,2.132399436,0.333873798,2.940883059,2.104751745,0.088741764,1.652744141,1.17667499,0.298970876,0.015227446,7.89936E-06,7.89936E-06,2.24589E-06,1.06706E-06,8.24198E-05
321019474,0,0.000238146,0.000224658,0.000628118,0.000349754,0.029551291,0.027877626,0.07794272,0.043400657,0.642331886,0,0.010116991,0.897599219,0.942453813,0.300121927,0.357668114,0.556827586,0.642331886,0.839107305,0.015750411,1.397407225,1.467238095,0.015750411,0.010724376,0.940218758,0.047547492,1.050985816,1.000965813,0.318140094,2.637540253,0.943364047,0.022909989,2.134192538,0.679627975,0.503919339,0.035810159,0.000249589,0.000249589,0.000160319,0.000169944,0.005750823
321021933,0,-0.052603583,-0.06771383,-0.750911702,-0.074425155,0.002591018,0.003335282,0.036986565,0.003665852,0.909824511,0,0.132405198,0.244259065,1,0.090175489,0.090175489,0.099113058,0.909824511,1,0.145528282,0.268468328,1.099113058,0.145528282,0.102859161,0.086893831,0.58709839,5.270009121,1.287247501,0.070052954,14.27491561,1.287247501,0.313858238,2.370437435,0.213755356,0.344026622,0.016301717,0,0,0,0,0
321022669,0,-0.013524262,-0.021751056,-0.054226318,-0.036319328,0.018277183,0.029395175,0.073283436,0.049083272,0.598883773,0,0.085235707,0.384562554,0.657165031,0.058281258,0.401116227,0.669773076,0.598883773,0.145297682,0.142324288,0.642132198,1.097316475,0.142324288,0.052997426,0.186021051,0.169497388,4.182151827,2.44732892,0.036237825,4.009558523,1.608298986,0.245010167,1.889021874,0.167529564,0.27576501,0.059457962,0.000282401,0.000282401,0.000169125,0.000105158,0.005753505
321022793,0,0.002494022,0.033913145,0.122379842,0.046913533,0.003855822,0.052430581,0.189202336,0.072529511,0.722886184,0,0.092421372,0.984513037,0.984566119,0.261679935,0.277113816,0.383343633,0.722886184,0.944304904,0.127850517,1.361919841,1.361993272,0.127850517,0.006796803,0.040479482,3.90376E-06,13.81167223,13.81092758,0.019244325,49.06926536,13.59777137,0.324382769,3.455653991,0.918450569,0.027679744,0.006726711,0.000116335,0.000116335,8.4097E-05,6.18461E-06,0.001603968
321022892,0,0.024942825,0.01121449,0.011749407,0.246325612,0.342620461,0.154044854,0.16139259,3.383586008,0.045527099,0,0.014208552,0.442865747,0.574362379,0.52883528,0.954472901,20.96494028,0.045527099,0.554060026,0.31209,9.727519689,12.61583535,0.31209,0.031602099,0.376137017,0.292469599,1.015223837,0.782794764,1.176214483,0.471053565,0.449607863,0.066897501,2.704245102,2.489891868,0.831939226,0.359543417,0.05010446,0.05010446,0.002281111,0.005073556,0.014808094
321022933,0,-0.094813272,-0.15535843,-0.483253667,-0.228968044,0.037033348,0.06068183,0.188755234,0.08943319,0.678515776,0,0.069596496,0.497424257,0.946842836,0.26832706,0.321484224,0.473805084,0.678515776,0.834650786,0.102571669,0.733106399,1.395461786,0.102571669,0.042473855,0.233653612,0.274274438,3.294114794,1.730564504,0.163756589,5.096898949,1.638572604,0.333953221,4.543349648,1.287545946,0.233823996,0.106638951,0,0,0,0,0
321023380,0,0.050439908,0.056073718,0.075885639,0.214779264,0.015798286,0.017562852,0.023768144,0.067271023,0.261076029,0,0.099754297,0.201807839,0.617090178,0.356014148,0.738923971,2.830301855,0.261076029,0.481800784,0.38208907,0.77298494,2.363641652,0.38208907,0.089731835,0.091800071,0.373558307,5.508673493,1.801508974,0.320244879,1.504476153,1.111693493,1.226970817,7.590165636,4.378948898,0.128572925,0.055440105,0.073469718,0.073469718,0.019181182,0.01725402,1.092145088
321024155,1,-0.063917106,-0.022587104,-0.039746229,-0.052319233,-0.159026898,-0.056197118,-0.098889326,-0.130171183,0.096642579,0.335074465,0.000877823,0.110794571,0.31139879,0.214756212,0.568282956,1.316331992,0.431717044,0.377903664,0.00908319,1.14643641,3.222169713,0.002033329,0.002484068,0.307308669,0.567670863,3.189517425,1.134818843,0.607718244,0.621840249,0.353381215,0.00494492,1.754160285,1.209756842,0.317827076,-0.184520357,0.036869784,0.164702914,0.015917314,0.045042899,-0.283240756
321024169,0,0.105041755,0.173917049,0.514507375,0.262725032,0.0552957,0.091552783,0.270845109,0.13830276,0.104311181,0.557662471,0.385629294,0.722577349,0.892536123,0.788224942,0.338026348,0.510634142,0.661973652,2.331844683,3.696912369,6.927132312,8.556476096,0.582544777,0.232910908,0.202783359,0.102651051,2.29137328,1.85504473,0.476069091,4.898122411,1.655694431,3.483361387,8.062213943,7.119978628,0.13124592,0.064382083,0,0,0,0,0
321024320,0,0.259869757,0.205727001,0.325860076,0.55803297,0.090253162,0.0714493,0.1131717,0.193805699,0.3686646,0,0.233116986,0.414105569,0.558736929,0.190072329,0.6313354,1.712492602,0.3686646,0.301063949,0.632328099,1.123258293,1.515569786,0.632328099,0.294468173,0.228620739,0.182695106,1.911720887,1.416864046,0.240095124,1.253936126,0.791654266,0.731940061,1.754320651,0.596788568,0.447490292,0.045178424,0.003253581,0.003253581,0.00119948,0.001515157,0.01678785
